code_type,penalty_type,count,avg_min_value,avg_max_value,avg_severity
Administrative,arrest_days,81,,16.21,1.0
Administrative,community_service_hours,2,60.0,60.0,1.0
Administrative,confiscation,28,,,0.0
Administrative,deportation,12,,,0.0
Administrative,fine_mrp,809,83.56,83.56,8.36
Administrative,fine_mrp_subject,553,40.95,40.95,1.0
Administrative,license_revocation,20,,,0.0
Administrative,suspension,40,,,0.0
Administrative,warning,120,,,0.0
Criminal,arrest_days,138,,41.96,1.0
Criminal,community_service_hours,400,250.0,594.1,1.0
Criminal,confiscation,14,,,0.0
Criminal,correctional_work,479,,,0.0
Criminal,fine_mrp,487,1272.56,2259.63,225.96
Criminal,imprisonment_years,894,,,0.0
Criminal,life_imprisonment,28,,,0.0
Criminal,restriction_freedom,419,,,0.0
