code,code_name,topic_num,top_words
УК,Criminal Code,1,"свобода, лишение, срок, наказываться, год, совершить, лицо, имущество, группа, конфискация"
УК,Criminal Code,2,"уголовный, правонарушение, лицо, ответственность, совершить, настоящий, кодекс, деяние, совершение, принудительный"
УК,Criminal Code,3,"республика, казахстан, лицо, организация, имущество, расчётный, показатель, месячный, государственный, государство"
УК,Criminal Code,4,"срок, размер, работа, лишение, определённый, свобода, год, наказываться, штраф, исправительный"
УК,Criminal Code,5,"преступление, наказание, лицо, срок, свобода, суд, лишение, год, уголовный, совершение"
КоАП,Administrative Code,1,"размер, субъект, предпринимательство, лицо, влечь, штраф, показатель, расчётный, месячный, крупный"
КоАП,Administrative Code,2,"административный, лицо, дело, правонарушение, производство, постановление, настоящий, суд, орган, должностной"
КоАП,Administrative Code,3,"размер, влечь, показатель, месячный, расчётный, штраф, лицо, действие, предусмотреть, административный"
КоАП,Administrative Code,4,"средство, транспортный, казахстан, республика, товар, лицо, судно, таможенный, управление, территория"
КоАП,Administrative Code,5,"часть, казахстан, республика, орган, первый, административный, второй, статья, государственный, банк"
ГК,Civil Code,1,"имущество, право, собственность, залог, лицо, собственник, вещь, договор, предусмотреть, предмет"
ГК,Civil Code,2,"товарищество, участник, предусмотреть, ответственность, полный, деятельность, учредительный, имущество, хозяйственный, документ"
ГК,Civil Code,3,"лицо, казахстан, республика, юридический, акт, право, государственный, законодательный, законодательство, орган"
ГК,Civil Code,4,"договор, обязательство, сторона, должник, кредитор, исполнение, лицо, сделка, требование, предусмотреть"
ГК,Civil Code,5,"срок, кооператив, член, день, давность, решение, исковый, течение, орган, место"
ТК,Labor Code,1,"трудовой, работник, представитель, комиссия, коллективный, работодатель, спор, сторона, соглашение, забастовка"
ТК,Labor Code,2,"трудовой, республика, казахстан, договор, лицо, орган, настоящий, кодекс, юридический, работник"
ТК,Labor Code,3,"случай, несчастный, расследование, деятельность, связать, труд, трудовой, производственный, государственный, сторона"
ТК,Labor Code,4,"работник, работа, трудовой, работодатель, договор, сторона, рабочий, время, день, отпуск"
ТК,Labor Code,5,"труд, работник, работодатель, трудовой, охрана, работа, казахстан, республика, профессиональный, безопасность"
НК,Tax Code,1,"доход, стоимость, иностранный, настоящий, финансовый, актив, компания, лицо, контролировать, статья"
НК,Tax Code,2,"настоящий, налоговый, статья, контракт, добыча, период, недропользование, кодекс, пункт, полезный"
НК,Tax Code,3,"казахстан, республика, государственный, лицо, орган, плата, объект, год, право, настоящий"
НК,Tax Code,4,"налоговый, лицо, налог, настоящий, доход, нерезидент, деятельность, республика, казахстан, сумма"
НК,Tax Code,5,"налоговый, товар, орган, налог, налогоплательщик, настоящий, услуга, стоимость, добавить, счёт"
