code,bigram,frequency
УК,на срок,1791
УК,свобода на,1328
УК,срок до,1316
УК,тот же,1129
УК,лишение свобода,1093
УК,месячный расчётный,611
УК,расчётный показатель,611
УК,наказываться штраф,512
УК,исправительный работа,510
УК,штраф размер,509
УК,показатель либо,501
УК,размер либо,482
УК,же размер,478
УК,либо исправительный,478
УК,работа тот,478
УК,размер до,472
УК,срок от,472
УК,ограничение свобода,460
УК,год либо,459
УК,либо лишение,454
УК,наказываться лишение,447
УК,лишение право,439
УК,определённый деятельность,438
УК,заниматься определённый,437
УК,занимать определённый,436
УК,общественный работа,436
УК,определённый должность,436
УК,право занимать,435
УК,должность или,433
УК,или заниматься,432
КоАП,на субъект,2165
КоАП,предпринимательство размер,1946
КоАП,расчётный показатель,1826
КоАП,месячный расчётный,1825
КоАП,влечь штраф,1699
КоАП,республика казахстан,1320
КоАП,штраф на,1197
КоАП,административный правонарушение,1051
КоАП,должностной лицо,974
КоАП,лицо размер,947
КоАП,крупный предпринимательство,838
КоАП,субъект крупный,837
КоАП,средний предпринимательство,823
КоАП,субъект средний,812
КоАП,субъект малый,770
КоАП,физический лицо,765
КоАП,малый предпринимательство,760
КоАП,настоящий статья,755
КоАП,часть первый,752
КоАП,об административный,728
КоАП,административный взыскание,697
КоАП,размер сто,655
КоАП,предусмотреть часть,634
КоАП,на физический,633
КоАП,дело об,613
КоАП,штраф размер,613
КоАП,наложение административный,528
КоАП,настоящий кодекс,512
КоАП,статья совершить,508
КоАП,течение год,497
ГК,законодательный акт,326
ГК,республика казахстан,325
ГК,юридический лицо,299
ГК,мочь быть,219
ГК,настоящий кодекс,216
ГК,иное не,144
ГК,если иное,139
ГК,не предусмотреть,129
ГК,акт республика,105
ГК,предусмотреть законодательный,99
ГК,статья настоящий,99
ГК,право собственность,95
ГК,ценный бумага,93
ГК,право на,91
ГК,законодательство республика,80
ГК,случай предусмотреть,76
ГК,третий лицо,69
ГК,учредительный документ,69
ГК,закон республика,67
ГК,предмет залог,66
ГК,собственность на,62
ГК,исполнение обязательство,60
ГК,не установить,59
ГК,за исключение,57
ГК,иметь право,57
ГК,должный быть,55
ГК,не мочь,55
ГК,акционерный общество,54
ГК,случай когда,54
ГК,или договор,53
ТК,республика казахстан,331
ТК,трудовой договор,282
ТК,настоящий кодекс,171
ТК,охрана труд,145
ТК,заработный плата,129
ТК,коллективный договор,122
ТК,законодательство республика,120
ТК,безопасность охрана,116
ТК,акт работодатель,114
ТК,условие труд,110
ТК,несчастный случай,108
ТК,рабочий время,108
ТК,принимать сторона,103
ТК,государственный орган,100
ТК,трудовой деятельность,100
ТК,закон республика,97
ТК,направлять сторона,87
ТК,юридический лицо,83
ТК,связать трудовой,81
ТК,работник направлять,79
ТК,рабочий день,74
ТК,случай связать,73
ТК,орган по,70
ТК,представитель работник,69
ТК,трудовой отношение,69
ТК,трудовой спор,68
ТК,статья настоящий,61
ТК,трудовой отпуск,61
ТК,трудовой законодательство,58
ТК,по труд,56
НК,республика казахстан,2645
НК,настоящий кодекс,1667
НК,статья настоящий,1245
НК,налог на,1110
НК,налоговый период,1041
НК,юридический лицо,979
НК,налоговый орган,972
НК,настоящий статья,910
НК,законодательство республика,782
НК,налоговый агент,750
НК,на добавить,713
НК,добавить стоимость,712
НК,физический лицо,637
НК,пункт статья,622
НК,подоходный налог,604
НК,пункт настоящий,600
НК,уполномоченный орган,584
НК,иностранный компания,577
НК,контролировать иностранный,531
НК,за исключение,507
НК,настоящий пункт,486
НК,налогоплательщик налоговый,460
НК,на территория,454
НК,постоянный учреждение,417
НК,тот число,393
НК,налоговый проверка,389
НК,территория республика,383
НК,контракт на,381
НК,финансовый отчётность,376
НК,работа услуга,368
