year,code_short,changes,avg_similarity,words_inserted,words_deleted
1996,ГК,2,0.9623804890430663,30,1
1997,ГК,97,0.9015429451838142,551,241
1998,ГК,264,0.8580937900542331,2471,1926
1999,ГК,7,0.9115746992594189,150,13
2000,ГК,36,0.9403804239361414,42,510
2001,ГК,35,0.9456065461162455,275,157
2002,ГК,237,0.9303273244129827,2503,403
2003,ГК,162,0.9327283029055312,835,159
2004,ГК,256,0.9739525908949083,130,677
2005,ГК,13,0.8421076348663166,219,76
2006,ГК,14,0.9518652058429095,94,79
2007,ГК,320,0.8926005256396164,3660,4006
2008,ГК,159,0.9433719706417434,608,251
2009,ГК,17,0.9652475116830108,108,15
2010,ГК,54,0.951853719073265,132,179
2011,ГК,88,0.825267723642881,918,1130
2012,ГК,53,0.9290606487251918,454,241
2013,ГК,17,0.9420363121168714,245,94
2014,ГК,24,0.8548321164722418,567,487
2014,КоАП,16,0.9290348176944161,253,0
2014,УК,4,0.9542026729431263,93,0
2015,ГК,25,0.8883960311067308,237,48
2015,КоАП,291,0.9139256569221497,5023,921
2015,УК,338,0.9728368806821184,332,1982
2016,ГК,800,0.918354599673702,6605,9116
2016,КоАП,726,0.9263704759933559,6886,7471
2016,ТК,128,0.9708467940941331,132,652
2016,УК,78,0.9349408865987093,1034,179
2017,ГК,59,0.8994172289191009,234,362
2017,КоАП,552,0.9001061924220026,5681,2514
2017,ТК,10,0.9624416045816128,84,4
2017,УК,72,0.9315015313178981,656,151
2018,ГК,22,0.9141333248394801,129,244
2018,КоАП,138,0.8679556563032315,1959,1445
2018,ТК,22,0.913718958928617,243,146
2018,УК,277,0.9250965956221782,3469,727
2019,ГК,13,0.9002018148278677,237,38
2019,КоАП,115,0.8963406574035306,1858,710
2019,ТК,7,0.9546329677044628,14,24
2019,УК,44,0.8977425945743618,585,66
2020,ГК,21,0.887500621664724,104,170
2020,КоАП,255,0.8978137579423693,3727,2155
2020,ТК,112,0.9056182234501915,2111,257
2020,УК,116,0.902369470878776,1992,658
2021,ГК,16,0.9534389059827589,121,4
2021,КоАП,653,0.9252136315611849,11965,2426
2021,ТК,178,0.9417320259228756,2071,1705
2021,УК,44,0.9624874438727237,277,139
2022,ГК,14,0.9107327230728789,37,15
2022,КоАП,350,0.9077673021811498,980,9045
2022,ТК,14,0.9758165804742005,25,2
2022,УК,49,0.908998651233472,792,153
2023,ГК,12,0.9652715733852463,55,2
2023,КоАП,85,0.9242666365236208,786,281
2023,ТК,61,0.9029895542662679,1702,214
2023,УК,59,0.9211177300472178,1223,304
2024,ГК,2,0.9320300926598309,19,7
2024,КоАП,110,0.9138129343480572,2275,359
2024,ТК,35,0.9554531404163488,209,175
2024,УК,50,0.9308623161657684,710,92
2025,ГК,10,0.8868410025600578,249,19
2025,КоАП,270,0.8975259509331088,4358,1654
2025,ТК,18,0.9442157510143478,230,42
2025,УК,99,0.91865344464511,1550,226
