code_short,article_number,penalty_type,change_count,total_change,avg_change
КоАП,127,fine_mrp,2,3,1.5
КоАП,128,fine_mrp,1,-50,-50.0
КоАП,130,fine_mrp,1,-250,-250.0
КоАП,147-1,arrest_days,1,20,20.0
КоАП,147-1,fine_mrp,1,30,30.0
КоАП,177,fine_mrp,1,-20,-20.0
КоАП,179,fine_mrp,1,-20,-20.0
КоАП,202,fine_mrp,1,-100,-100.0
КоАП,211-1,fine_mrp,1,-70,-70.0
КоАП,213,fine_mrp,1,-100,-100.0
КоАП,222,fine_mrp,1,-200,-200.0
КоАП,228,fine_mrp,3,0,0.0
КоАП,230,fine_mrp,1,-200,-200.0
КоАП,238,fine_mrp,2,0,0.0
КоАП,239-1,fine_mrp,1,-75,-75.0
КоАП,245,fine_mrp,1,-25,-25.0
КоАП,247,fine_mrp,1,-20,-20.0
КоАП,260,fine_mrp,1,100,100.0
КоАП,262,fine_mrp,1,-250,-250.0
КоАП,275,fine_mrp,1,-150,-150.0
КоАП,317,fine_mrp,1,-20,-20.0
КоАП,323-1,fine_mrp,1,80,80.0
КоАП,342-1,fine_mrp,1,10,10.0
КоАП,370,fine_mrp,1,3,3.0
КоАП,372,fine_mrp,1,5,5.0
КоАП,380,fine_mrp,1,3,3.0
КоАП,409,fine_mrp,1,-5,-5.0
КоАП,424,fine_mrp,1,-120,-120.0
КоАП,434,arrest_days,1,-5,-5.0
КоАП,434,fine_mrp,2,10,5.0
КоАП,434-2,fine_mrp,1,5,5.0
КоАП,436,fine_mrp,1,10,10.0
КоАП,438,fine_mrp,1,30,30.0
КоАП,439,fine_mrp,1,-180,-180.0
КоАП,443-1,fine_mrp,1,3,3.0
КоАП,454,fine_mrp,1,10,10.0
КоАП,458,fine_mrp,1,-150,-150.0
КоАП,461,arrest_days,1,5,5.0
КоАП,465,fine_mrp,1,-30,-30.0
КоАП,485,fine_mrp,1,10,10.0
КоАП,490,fine_mrp,1,-50,-50.0
КоАП,492,fine_mrp,1,2,2.0
КоАП,496,fine_mrp,1,100,100.0
КоАП,498,fine_mrp,1,-10,-10.0
КоАП,499,fine_mrp,1,10,10.0
КоАП,501,fine_mrp,1,25,25.0
КоАП,502,fine_mrp,1,10,10.0
КоАП,503,fine_mrp,1,10,10.0
КоАП,519,fine_mrp,1,5,5.0
КоАП,570,fine_mrp,1,300,300.0
КоАП,573,fine_mrp,1,490,490.0
КоАП,576,fine_mrp,1,-5,-5.0
КоАП,592,fine_mrp,1,-5,-5.0
КоАП,594,fine_mrp,1,-7,-7.0
КоАП,597,fine_mrp,1,-5,-5.0
КоАП,598,fine_mrp,1,13,13.0
КоАП,601,fine_mrp,1,-2,-2.0
КоАП,602,fine_mrp,2,0,0.0
КоАП,607,fine_mrp,1,10,10.0
КоАП,610,fine_mrp,1,10,10.0
КоАП,613,arrest_days,1,-12,-12.0
КоАП,613,fine_mrp,2,20,10.0
КоАП,615,fine_mrp,1,-3,-3.0
КоАП,623,fine_mrp,1,-3,-3.0
КоАП,640,fine_mrp,1,-100,-100.0
КоАП,657,fine_mrp,1,-10,-10.0
КоАП,667,fine_mrp,1,10,10.0
КоАП,672,fine_mrp,1,-10,-10.0
КоАП,726,fine_mrp,1,15,15.0
КоАП,73,arrest_days,1,2,2.0
КоАП,75,fine_mrp,1,-10,-10.0
КоАП,91,fine_mrp,1,-200,-200.0
УК,105,imprisonment_years,2,2,1.0
УК,106,imprisonment_years,1,-2,-2.0
