code_short,year,penalty_type,mean_value,median_value,count
КоАП,2014,arrest_days,12.344827586206897,10.0,87
КоАП,2014,confiscation,,,0
КоАП,2014,deportation,,,0
КоАП,2014,fine_mrp,80.5925925925926,25.0,972
КоАП,2014,fine_mrp_subject,58.188311688311686,15.0,924
КоАП,2014,license_revocation,,,0
КоАП,2014,suspension,,,0
КоАП,2014,warning,,,0
КоАП,2015,arrest_days,12.1,10.0,840
КоАП,2015,confiscation,,,0
КоАП,2015,deportation,,,0
КоАП,2015,fine_mrp,79.99145945945946,25.0,9250
КоАП,2015,fine_mrp_subject,58.00218039935736,15.0,8714
КоАП,2015,license_revocation,,,0
КоАП,2015,suspension,,,0
КоАП,2015,warning,,,0
КоАП,2016,arrest_days,12.1,10.0,840
КоАП,2016,confiscation,,,0
КоАП,2016,deportation,,,0
КоАП,2016,fine_mrp,82.45330248212032,25.0,9508
КоАП,2016,fine_mrp_subject,59.76702269692924,20.0,8988
КоАП,2016,license_revocation,,,0
КоАП,2016,suspension,,,0
КоАП,2016,warning,,,0
КоАП,2017,arrest_days,12.11111111111111,10.0,432
КоАП,2017,confiscation,,,0
КоАП,2017,deportation,,,0
КоАП,2017,fine_mrp,83.0845041322314,25.0,4840
КоАП,2017,fine_mrp_subject,59.57158638974812,20.0,4526
КоАП,2017,license_revocation,,,0
КоАП,2017,suspension,,,0
КоАП,2017,warning,,,0
КоАП,2018,arrest_days,12.125,10.0,480
КоАП,2018,confiscation,,,0
КоАП,2018,deportation,,,0
КоАП,2018,fine_mrp,76.67265506807867,20.0,5288
КоАП,2018,fine_mrp_subject,56.31048805815161,15.0,4815
КоАП,2018,license_revocation,,,0
КоАП,2018,suspension,,,0
КоАП,2018,warning,,,0
КоАП,2019,arrest_days,11.884344146685473,10.0,709
КоАП,2019,confiscation,,,0
КоАП,2019,deportation,,,0
КоАП,2019,fine_mrp,74.62891130074993,20.0,7734
КоАП,2019,fine_mrp_subject,56.4100382815823,15.0,7053
КоАП,2019,license_revocation,,,0
КоАП,2019,suspension,,,0
КоАП,2019,warning,,,0
КоАП,2020,arrest_days,11.66950354609929,10.0,705
КоАП,2020,confiscation,,,0
КоАП,2020,deportation,,,0
КоАП,2020,fine_mrp,77.34568421052631,25.0,7125
КоАП,2020,fine_mrp_subject,57.17434869739479,15.0,6487
КоАП,2020,license_revocation,,,0
КоАП,2020,suspension,,,0
КоАП,2020,warning,,,0
КоАП,2021,arrest_days,11.842105263157896,10.0,418
КоАП,2021,confiscation,,,0
КоАП,2021,deportation,,,0
КоАП,2021,fine_mrp,77.31582952815829,20.0,3942
КоАП,2021,fine_mrp_subject,57.43061396131203,15.0,3567
КоАП,2021,license_revocation,,,0
КоАП,2021,suspension,,,0
КоАП,2021,warning,,,0
КоАП,2022,arrest_days,11.75,10.0,384
КоАП,2022,confiscation,,,0
КоАП,2022,deportation,,,0
КоАП,2022,fine_mrp,77.72027972027972,20.0,3575
КоАП,2022,fine_mrp_subject,58.46118441239644,20.0,3259
КоАП,2022,license_revocation,,,0
КоАП,2022,suspension,,,0
КоАП,2022,warning,,,0
КоАП,2023,arrest_days,11.823609226594302,10.0,737
КоАП,2023,confiscation,,,0
КоАП,2023,deportation,,,0
КоАП,2023,fine_mrp,77.32442806694304,20.0,6513
КоАП,2023,fine_mrp_subject,58.51330734022716,20.0,5899
КоАП,2023,license_revocation,,,0
КоАП,2023,suspension,,,0
КоАП,2023,warning,,,0
КоАП,2024,arrest_days,11.995717344753748,10.0,934
КоАП,2024,confiscation,,,0
КоАП,2024,deportation,,,0
КоАП,2024,fine_mrp,77.30876017233126,25.0,8356
КоАП,2024,fine_mrp_subject,58.57613877118644,20.0,7552
КоАП,2024,license_revocation,,,0
КоАП,2024,suspension,,,0
КоАП,2024,warning,,,0
КоАП,2025,arrest_days,11.471512770137524,10.0,509
КоАП,2025,community_service_hours,26.666666666666668,20.0,24
КоАП,2025,confiscation,,,0
КоАП,2025,deportation,,,0
КоАП,2025,fine_mrp,77.38945795988049,25.0,4686
КоАП,2025,fine_mrp_subject,57.78773695296045,20.0,4273
КоАП,2025,license_revocation,,,0
КоАП,2025,suspension,,,0
КоАП,2025,warning,,,0
УК,2014,arrest_days,72.33050847457628,75.0,236
УК,2014,community_service_hours,220.1834862385321,240.0,218
УК,2014,confiscation,,,0
УК,2014,death_penalty_mention,,,0
УК,2014,deportation,,,0
УК,2014,deprivation_right,,,0
УК,2014,fine_mrp,1576.4191176470588,1000.0,544
УК,2014,imprisonment_years,8.245689655172415,7.0,464
